ALGORITMA,FITUR,IMPORTANCE
XGBoost,LAG_1,0.28724896907806396
XGBoost,ROLLING_MEAN_3,0.22848959267139435
XGBoost,ROLLING_MEAN_7,0.08887128531932831
XGBoost,EXPANDING_MEAN,0.07690151780843735
XGBoost,LAG_14,0.026986684650182724
XGBoost,EXPANDING_STD,0.026658732444047928
XGBoost,DOW_COS,0.022491486743092537
XGBoost,ROLLING_MEAN_14,0.0213005393743515
XGBoost,MONTH,0.020041493698954582
XGBoost,ROLLING_STD_3,0.019151853397488594
XGBoost,WEEKOFYEAR,0.017405109480023384
XGBoost,MONTH_COS,0.016957826912403107
XGBoost,YEAR,0.015858054161071777
XGBoost,DAY,0.015666617080569267
XGBoost,LAG_2,0.015110889449715614
XGBoost,ROLLING_STD_14,0.014578297734260559
XGBoost,DAYOFYEAR,0.012872880324721336
XGBoost,LAG_28,0.012683856301009655
XGBoost,LAG_7,0.012197551317512989
XGBoost,DOW_SIN,0.010966230183839798
XGBoost,MONTH_SIN,0.010531142354011536
XGBoost,LAG_3,0.01049197930842638
XGBoost,ROLLING_STD_7,0.009590160101652145
XGBoost,DAYOFWEEK,0.006947284564375877
XGBoost,IS_MONTH_END,0.0
XGBoost,QUARTER,0.0
XGBoost,IS_MONTH_START,0.0
XGBoost,KATEGORI_AIR MINERAL,0.0
XGBoost,KATEGORI_MINUMAN TEH,0.0
XGBoost,KATEGORI_ROKOK,0.0
XGBoost,KATEGORI_SUSU,0.0
LightGBM,LAG_1,536.0
LightGBM,DAYOFYEAR,463.0
LightGBM,LAG_28,417.0
LightGBM,LAG_14,379.0
LightGBM,EXPANDING_STD,378.0
LightGBM,DAY,376.0
LightGBM,LAG_2,333.0
LightGBM,LAG_7,325.0
LightGBM,ROLLING_MEAN_3,310.0
LightGBM,ROLLING_MEAN_7,304.0
LightGBM,ROLLING_STD_3,298.0
LightGBM,ROLLING_STD_14,286.0
LightGBM,LAG_3,245.0
LightGBM,ROLLING_STD_7,244.0
LightGBM,ROLLING_MEAN_14,227.0
LightGBM,EXPANDING_MEAN,227.0
LightGBM,DAYOFWEEK,113.0
LightGBM,DOW_COS,112.0
LightGBM,MONTH_SIN,102.0
LightGBM,YEAR,83.0
LightGBM,DOW_SIN,77.0
LightGBM,MONTH_COS,53.0
LightGBM,MONTH,53.0
LightGBM,WEEKOFYEAR,47.0
LightGBM,KATEGORI_MINUMAN TEH,9.0
LightGBM,IS_MONTH_END,1.0
LightGBM,KATEGORI_AIR MINERAL,1.0
LightGBM,KATEGORI_SUSU,1.0
LightGBM,QUARTER,0.0
LightGBM,IS_MONTH_START,0.0
LightGBM,KATEGORI_ROKOK,0.0
